Ticker,Date,Open,High,Low,Close,Adj Close,Volume
^DJI,2010-01-04,10430.6904296875,10604.9697265625,10430.6904296875,10583.9599609375,10583.9599609375,179780000.0
^DJI,2010-01-05,10584.5595703125,10584.5595703125,10522.51953125,10572.01953125,10572.01953125,188540000.0
^DJI,2010-01-06,10564.7197265625,10594.990234375,10546.5498046875,10573.6796875,10573.6796875,186040000.0
^DJI,2010-01-07,10571.1103515625,10612.3701171875,10505.2099609375,10606.8603515625,10606.8603515625,217390000.0
^DJI,2010-01-08,10606.400390625,10619.400390625,10554.330078125,10618.1904296875,10618.1904296875,172710000.0
^DJI,2010-01-11,10620.3095703125,10676.23046875,10591.58984375,10663.990234375,10663.990234375,182050000.0
^DJI,2010-01-12,10662.8603515625,10663.080078125,10568.83984375,10627.259765625,10627.259765625,256050000.0
^DJI,2010-01-13,10628.08984375,10709.259765625,10614.490234375,10680.76953125,10680.76953125,202810000.0
^DJI,2010-01-14,10680.16015625,10723.76953125,10666.8603515625,10710.5498046875,10710.5498046875,201320000.0
^DJI,2010-01-15,10706.990234375,10709.9404296875,10561.0595703125,10609.650390625,10609.650390625,362930000.0
^DJI,2010-01-19,10608.3701171875,10729.8896484375,10591.9697265625,10725.4296875,10725.4296875,192150000.0
^DJI,2010-01-20,10719.6904296875,10719.919921875,10517.2998046875,10603.150390625,10603.150390625,203270000.0
^DJI,2010-01-21,10603.91015625,10614.9404296875,10374.6904296875,10389.8798828125,10389.8798828125,304290000.0
^DJI,2010-01-22,10389.580078125,10389.580078125,10157.6396484375,10172.98046875,10172.98046875,323620000.0
^DJI,2010-01-25,10175.099609375,10256.8701171875,10171.76953125,10196.8603515625,10196.8603515625,215330000.0
^DJI,2010-01-26,10195.349609375,10285.1298828125,10155.599609375,10194.2900390625,10194.2900390625,217300000.0
^DJI,2010-01-27,10194.2900390625,10255.0595703125,10104.3603515625,10236.16015625,10236.16015625,262170000.0
^DJI,2010-01-28,10236.919921875,10258.830078125,10055.080078125,10120.4599609375,10120.4599609375,240050000.0
^DJI,2010-01-29,10122.0400390625,10239.33984375,10043.75,10067.330078125,10067.330078125,316900000.0
^DJI,2010-02-01,10068.990234375,10190.8896484375,10068.91015625,10185.5302734375,10185.5302734375,198430000.0
^DJI,2010-02-02,10186.1298828125,10314.83984375,10173.58984375,10296.849609375,10296.849609375,237140000.0
^DJI,2010-02-03,10291.73046875,10307.2001953125,10231.9296875,10270.5498046875,10270.5498046875,198940000.0
^DJI,2010-02-04,10273.1201171875,10273.1201171875,9998.0302734375,10002.1796875,10002.1796875,304240000.0
^DJI,2010-02-05,10003.6904296875,10031.9599609375,9835.08984375,10012.23046875,10012.23046875,308320000.0
^DJI,2010-02-08,10005.4296875,10028.5595703125,9904.08984375,9908.3896484375,9908.3896484375,216270000.0
^DJI,2010-02-09,9910.2802734375,10139.4296875,9910.0595703125,10058.6396484375,10058.6396484375,236210000.0
^DJI,2010-02-10,10055.4599609375,10085.5400390625,9962.9599609375,10038.3798828125,10038.3798828125,178600000.0
^DJI,2010-02-11,10037.849609375,10161.5703125,9976.7099609375,10144.1904296875,10144.1904296875,194470000.0
^DJI,2010-02-12,10137.23046875,10137.3896484375,9983.8203125,10099.1396484375,10099.1396484375,296510000.0
^DJI,2010-02-16,10100.8095703125,10279.5400390625,10100.8095703125,10268.8095703125,10268.8095703125,234900000.0
^DJI,2010-02-17,10261.48046875,10320.1298828125,10261.48046875,10309.240234375,10309.240234375,193270000.0
^DJI,2010-02-18,10309.3896484375,10406.580078125,10294.509765625,10392.900390625,10392.900390625,185310000.0
^DJI,2010-02-19,10387.76953125,10438.5498046875,10339.169921875,10402.349609375,10402.349609375,241750000.0
^DJI,2010-02-22,10402.4296875,10433.6396484375,10368.9501953125,10383.3798828125,10383.3798828125,158440000.0
